formatted_name,formatted_universe,year,role,gender,eye,hair,color1,color2,description,image,banner,name,universe
Cortana,Halo,2001,Secondary,Female,Blue,Blue,Blue,Sky Blue,"Cortana, voiced in the games by Jen Taylor, is the artificial intelligence (AI) who assists the Master Chief in the video games. She is one of many ""smart"" AIs, and is based on the brain of Dr. Catherine Halsey; the nature of her construction means she is subject to a finite lifespan. In Halo 4, Cortana begins to succumb to her age, and sacrifices herself to save Chief and Earth from the Forerunner Didact, but Halo 5: Guardians reveals that she had survived the ordeal. Having found access to the Domain, a Forerunner repository of knowledge, Cortana believes that AIs should serve as the galaxy's caretakers, putting her in conflict with her creators. In Halo Infinite, however, after Atriox seemingly defeats Chief which devastates her, Cortana finally destroys herself. Cortana has been called one of gaming's greatest characters, and one of the ""50 Greatest Female Characters"" and the heart of the franchise. The character's sex appeal has also been a focus on commentary.",halo_cortana.png,banner_halo.png,cortana,halo
Gravemind ,Halo,2007,Antagonist,Other,None / Undefined,None / Undefined,Gray,Green,"Gravemind (voiced by Dee Bradley Baker) is one of the primary antagonists in the Halo series. The Gravemind is a large, sentient creature of Flood origin, created by the parasite to serve as its central intelligence once a critical biomass has been achieved. It was introduced during the events of Halo 2, where the creature saves both the Master Chief and Arbiter from their deaths, bringing the two face to face in the bowels of Delta Halo. Gravemind reveals to the Arbiter that the ""sacred rings"" are actually weapons of last resort; a fact the Master Chief confirms. In order to stop Halo from being fired, Gravemind teleports the Master Chief and Arbiter to separate locations, but also uses them as a distraction; Gravemind infests the human ship In Amber Clad, and uses it to invade the Covenant city of High Charity. Capturing Cortana, Gravemind brings High Charity to the Ark in an effort to stop the High Prophet of Truth from activating the Halo network. Although the Master Chief destroys High Charity, Gravemind survives the blast and attempts to rebuild itself on the incomplete Halo. When Halo is activated, Gravemind accepts his fate, but insists that the activation of the ring will only slow, not stop, the Flood. In Halo Wars 2: Awakening the Nightmare, the Gravemind's warning is validated when the Banished inadvertently release a number of surviving Flood forms from High Charity's wreckage. It is also mentioned in the game's menu that while the Gravemind's ""most recent physical avatar"" was destroyed by the Master Chief, it is ""only a matter of time before it rises again"". Though the Flood released upon the Ark form a Proto-Gravemind and come close to forming a new Gravemind, the Proto-Gravemind is killed by the Banished and the Flood are once again contained by the Banished and the Ark's Sentinels.

Designed to be a massive, horrifying combination of tentacles and rotting matter, reception to the character was generally mixed. Mike Leonard of the AllXbox community said that the introduction of the ""Little Shop of Horrors"" reject ""ruined the 'cool'"" of the Halo franchise. Jeremy Parish of 1UP.com complained that the link between Gravemind and the Flood was never explicitly stated in either Halo 2 or Halo 3 and was hardly seen in the last game.",halo_gravemind_.png,banner_halo.png,gravemind ,halo
Catherine Halsey,Halo,2001,Secondary,Female,Blue,Yellow,Sky Blue,Light Gray,"Dr. Catherine Elizabeth Halsey is a civilian scientist. She works with the military to run the SPARTAN-II Project, creating the most effective weapons humanity has against insurrection, and then in the war with the Covenant. Cortana is derived from Halsey's cloned brain. Jen Taylor, who also voices Cortana, provides the voice and motion capture performance, in Halo: Reach, Halo 4, and Halo 5: Guardians. The character is voiced by Shelly Calene-Black in Halo Legends. Natascha McElhone portrays the character in the television series.

",halo_catherine_halsey.png,banner_halo.png,catherine halsey,halo
Solid Snake,Metal Gear,1987,Protagonist,Male,Blue,Brown,Gray,Dark Gray,"Solid Snake (Soriddo Sunēku), real name David (Deibiddo), is the primary character of the original series. In the original Metal Gear games, he's a rookie member from FOXHOUND given the mission to find and destroy the Metal Gear located within Outer Heaven and Zanzibar Land, leading to confrontations with his comrade Gray Fox both times, as well as Big Boss (the phantom in Outer Heaven and his superior in Zanzibar Land). In the original Metal Gear Solid games, Snake becomes friends with Otacon while fighting a corrupt FOXHOUND led by his terrorist twin Liquid Snake in Metal Gear Solid, and uses the false name Iroquois Pliskin (Irokoi Purisukin) while assisting Raiden against Solidus Snake and the Patriots in Metal Gear Solid 2: Sons of Liberty. In Metal Gear Solid 4: Guns of the Patriots, he gives himself the nickname Old Snake (Ōrudo Sunēku) due to his accelerated aging process and is the playable character once more. Solid Snake is voiced by Akio Ōtsuka in the Japanese version and by David Hayter in the English translation.",metal_gear_solid_snake.png,banner_metal_gear.png,solid snake,metal gear
Gray Fox,Metal Gear,1987,Secondary,Male,Blue,Yellow,Blue,Orange,"Gray Fox (Gurei Fokkusu, spelled ""Grey Fox"" in the MSX2 versions), also known as Frank Jaeger (Furanku Yēgā, spelled ""Frank Yeager"" in the MSX2 version), the Cyborg Ninja (Saibōgu Ninja) and Null (Nuru), was a high-ranking agent of FOXHOUND. First appearing in the original Metal Gear games, he goes missing during the original game with his last transmission being a cryptic message simply saying ""Metal Gear"", and returns as an enemy in Metal Gear 2: Solid Snake. In Metal Gear Solid, he is revived from death as the Cyborg Ninja to confront and aid Solid Snake several times before finally being killed by Liquid Snake via Metal Gear REX. In the Japanese version, Gray Fox was voiced by Kaneto Shiozawa (in Metal Gear Solid) and by Takumi Yamazaki (in Metal Gear Solid: Digital Graphic Novel). In the English translation, Gray Fox is voiced by Greg Eagles (in Metal Gear Solid) and by Rob Paulsen (for Metal Gear Solid: The Twin Snakes). Null is voiced by Jun Fukuyama in Japanese and by Larc Spies in English.",metal_gear_gray_fox.png,banner_metal_gear.png,gray fox,metal gear
Dr. Madnar,Metal Gear,1987,Neutral,Male,Brown,None / Undefined,Sky Blue,Light Gray,"Dr. Drago Pettrovich Madnar (Dorago Petorovitchi Maddonā, known simply as Dr. Petrovich in the original Metal Gear and Dr. Pettrovich Madnar in the MSX2 version of Metal Gear 2) is an Eastern engineer responsible for creating the TX-55 Metal Gear mecha in the original Metal Gear, as well as the TX-11 Arnold (Bloody Brad) androids. Dr. Madnar is one of the hostages Snake must rescue along with his daughter Ellen (Eren). In Metal Gear 2, Dr. Madnar bitterly defects to Zanzibar Land and develops Metal Gear D after being rejected by the scientific community. He comes in contact with Snake in the game while posing as a hostage, but attacks him after the truth is revealed. His name is mentioned in Metal Gear Solid 4 as the scientist who saved Raiden's life after being turned into a cyborg. A character with the same name also plays a supporting role in Hideo Kojima's adventure game Snatcher, although the English-language version for the Sega CD spells his name as Dr. Petrovich Modnar.

",metal_gear_dr_madnar.png,banner_metal_gear.png,dr madnar,metal gear
Big Boss,Metal Gear,1987,Antagonist,Male,Brown,Brown,Green,Dark Gray,"Big Boss is a video game character from the Metal Gear video game series created by Hideo Kojima and developed and published by Konami.

He was first introduced in the 1987 Metal Gear game as the commanding officer and father of the main character, Solid Snake, later revealing himself as a terrorist leading a faction known as Outer Heaven. He is later featured in the prequel games, starting with Metal Gear Solid 3: Snake Eater as a younger version of the character named Naked Snake (Neikiddo Sunēku), an American Special Forces Operator and decorated war hero until political manipulations cause him to be disillusioned when facing his own mentor, The Boss, and gradually develops his own private mercenary company. The original incarnation of Big Boss from the 1987 Metal Gear game is retroactively established as a separate character known as Venom Snake in Metal Gear Solid V: Ground Zeroes and The Phantom Pain.

The creation of Naked Snake was made in an attempt to distance him from Solid Snake, despite both being physically similar through their characterizations. He has been voiced by Akio Ōtsuka in Japanese and David Hayter in English in these games. Critical reception to Big Boss has been positive, due to his role as a villain and rivalry formed with his former subordinate. Snake's younger persona has been praised as likeable, with critics generally enjoying the execution of his character development in the series designed to shape him into the villainous icon.
",metal_gear_big_boss.png,banner_metal_gear.png,big boss,metal gear
Samus Aran,Metroid,1986,Protagonist,Female,Blue,Yellow,Red,Sky Blue,"Samus Aran is a fictional character and the playable protagonist of the video game series Metroid by Nintendo. She was created by Japanese video game designer Makoto Kano. She was introduced as a player character in the original 1986 video game Metroid. Samus Aran is an ex-soldier of the Galactic Federation who became a galactic bounty hunter, usually fitted with a powered exoskeleton that is equipped with weapons such as directed-energy weapons and missiles. Throughout the series, she executes missions given to her by the Galactic Federation and the Chozo while hunting the antagonistic Space Pirates and their leader Ridley, along with the parasitic energy-draining organisms called Metroids and the manipulative cybernetic supercomputer Mother Brain.

Samus is the protagonist of several Metroid games, films, manga series, and a comic book continuation of Captain N: The Game Master. She also appears in the film Metroid: The Sky Calls, portrayed by actresses Jessica Chobot and America Young. She has featured in several other game franchises, including as a playable character in every installment of the Super Smash Bros. series.

In terms of gender representation in video games, she has received largely positive reviews. She is also recognized as one of the earliest female video game protagonists and has remained a popular and well-received character.

",metroid_samus_aran.png,banner_metroid.png,samus aran,metroid
Metroid,Metroid,1986,Enemy,Other,None / Undefined,None / Undefined,Green,Red,"The Metroid series' eponymous bio-form, engineered by the Chozo for the sole purpose of combating the most dangerous parasitic organism in the universe, the X. As an energy leeching predator, they either hatch from eggs laid by a Queen Metroid and evolve through a complicated metamorphosis into beasts capable of untold destruction, or divide by mitosis upon exposure to Beta rays. Their durability, aggression, and Explosive Breeder tendencies make them appealing bio-weapons to a number of unsavory characters throughout the galaxy; it's suggested that a benign use may be to use them to revolutionize energy usage and consumption.

",metroid_metroid.png,banner_metroid.png,metroid,metroid
Mother Brain,Metroid,1986,Antagonist,Female,Red,None / Undefined,Red,Gray,"Mother Brain is a recurring game boss and a major antagonist in the series. The Chozo created it as a councilor, and as a means to ""accelerate their plan to link the galaxy into one unified society."" During the Space Pirate invasion of Zebes, it saw the Space Pirates as a ""perfect force capable of restoring true order to the universe,"" and successfully established itself as one of their leaders. At the same time, Mother Brain attempted to persuade Samus to be an ally in order to ""build a new age for the universe"" by claiming that because it built the power suit that Samus wears, she is indebted to Mother Brain. Mother Brain is depicted as a very large brain with cybernetic spikes and a single eye; usually contained in a glass tube which Samus must break to attack it. In Super Metroid, Mother Brain also rises from the floor with a grotesque body after her tank is destroyed. Samus seemingly destroys Mother Brain in the original Metroid, but again confronts it in Super Metroid; in this game, Samus is defeated and almost killed, but the baby Metroid intervenes, and Samus once again defeats Mother Brain. It was revealed in Metroid Prime 3 that the Galactic Federation had constructed biomechanical supercomputers called Auroras, and that there were plans for a ""Future Aurora Complex"", which appears to be the Mother Brain depicted in Super Metroid. In the first cutscene for Metroid: Other M, the scene of Mother Brain destroying the baby Metroid is reenacted in an FMV cutscene, and the main antagonist, MB, is an android housing an AI cloned from Mother Brain's genetic material from Samus' suit.

",metroid_mother_brain.png,banner_metroid.png,mother brain,metroid
Ridley,Metroid,1986,Antagonist,Male,Yellow,None / Undefined,Purple,Pink,"Ridley is the archenemy of Samus Aran, an intelligent and sadistic dragon-like extraterrestrial that despite being killed multiple times by her, is always revived by the Space Pirates (or accidentally by the Galactic Federation in Metroid: Other M) using cloning or robotics. Other than Samus and the titular Metroids, Ridley is the only character that has appeared consistently throughout most of the games in the series (the exceptions being Metroid II: Return of Samus for the Game Boy, Metroid Prime 2: Echoes for the GameCube, Metroid Prime Hunters for the Nintendo DS, Metroid Prime: Federation Force for the Nintendo 3DS, and Metroid: Dread for the Nintendo Switch). He is directly responsible for the invasion of Samus' home planet, and the death of her parents, and is the franchise's primary villain, despite not typically acting as the main antagonist in an individual game.

",metroid_ridley.png,banner_metroid.png,ridley,metroid
Kraid,Metroid,1986,Antagonist,Male,Red,None / Undefined,Green,Yellow,"Kraid (Kureido) is a gigantic dinosaur-like beast and a member of the Space Pirate's High Command. His most prominent feature is his grotesquely oversized belly. First appearing in the original Metroid, he is the first part of the mini-boss duo along with Ridley. In Super Metroid he appears in his giant form, two screens tall and almost a screen wide. Metroid: Zero Mission retconned his size and appearance, showing he did not grow between games. He was also slated to appear in Metroid Prime as a boss in the Phazon Mines, with a metal dome covering his head and blue Phazon veins on his belly, but was removed due to time constraints. Kraid returns in Metroid Dread. Kraid also makes an appearance in the background of the Brinstar Depths stage in Super Smash Bros. Melee and Super Smash Bros. Ultimate where he periodically slashes and rotates the stage.

",metroid_kraid.png,banner_metroid.png,kraid,metroid
Pac-Man,Pac-Man,1980,Protagonist,Male,Black,None / Undefined,Yellow,Red,"Pac-Man is a fictional character and the titular protagonist of the video game franchise of the same name. Created by Toru Iwatani, he first appeared in the arcade game Pac-Man (1980), and has since appeared in more than 30 licensed sequels and spin-offs for multiple platforms, and spawning mass amounts of merchandise in his image, including two television series and a hit single by Buckner & Garcia. He is the official mascot of Bandai Namco Entertainment. Pac-Man's most common antagonists are the Ghost Gang — Blinky, Pinky, Inky and Clyde that are determined to defeat him to accomplish their goals, which change throughout the series. Pac-Man also has a voracious appetite, being able to consume vast amounts of food in a short timespan, and can eat his enemies by consuming large ""Power Pellets"". He also appears as a playable character in the Super Smash Bros. series and in the film Kamen Rider Heisei Generations: Dr. Pac-Man vs. Ex-Aid & Ghost with Legend Riders.

The idea of Pac-Man was taken from both the image of a pizza with a slice removed and from rounding out the Japanese symbol ""kuchi"", meaning ""mouth"". The character was made to be cute and colorful to appeal to younger players, particularly women. In Japan, he was originally titled ""Puckman"" for his hockey puck-like shape, which was changed in international releases to prevent defacement of the arcade cabinets by changing the P into an F. Pac-Man has the highest-brand awareness of any video game character in North America, becoming an icon in video games and pop culture. He is credited as the first video game mascot character and the first to receive merchandise.",pacman_pacman.png,banner_pacman.png,pacman,pacman
Ms. Pacman,Pac-Man,1981,Secondary,Female,Black,None / Undefined,Yellow,Red,"Ms. Pac-Man is the wife of the famous Namco video game character, Pac-Man. She made her debut appearance in Ms. Pac-Man, a game originally created without the consent of the creators of Pac-Man, but eventually the rights to the character were handed over, and she has since appeared in other Pac-Man series games, becoming a staple to the series.

She has made crossover appearances in two Mario titles to date, Mario Kart Arcade GP and its sequel, Mario Kart Arcade GP 2, along with her husband and their arch-enemy, Blinky. Her racing stats differ slightly from Pac-Man; she has better handling than him, but lower top speed (though in Mario Kart Arcade GP 2 she is a speed character). Ms. Pac-Man uses the same special items that Pac-Man does: Pooka, Rally X, and Galaga Boss, which are references to other classic Namco titles. She makes a cameo in her sprite form in the Pac-Land stage from Super Smash Bros. for Wii U and Super Smash Bros. Ultimate.

The above text is from the Super Mario Wiki and is available under a Creative Commons license. Attribution must be provided through a list of authors or a link back to the original article. Source: https://www.mariowiki.com/Ms._Pac-Man",pacman_ms_pacman.png,banner_pacman.png,ms pacman,pacman
Ghosts,Pac-Man,1981,Enemy,Other,Black,None / Undefined,Blue,Light Gray,"Blinky, Pinky, Inky and Clyde, collectively known as the Ghost Gang, are a quartet of characters from the Pac-Man video game franchise. Created by Toru Iwatani, they first appear in the 1980 arcade game Pac-Man as the main antagonists. The ghosts have appeared in every Pac-Man game since, sometimes becoming minor antagonists or allies to Pac-Man, such as in Pac-Man World and the Pac-Man and the Ghostly Adventures animated series.

Some entries in the series would add other ghosts to the group, such as Sue in Ms. Pac-Man, Tim in Jr. Pac-Man, and Funky and Spunky in Pac-Mania, however these would be reverted in later games. The group has since gained a positive reception and is cited as one of the most recognizable video game villains of all time.

",pacman_ghosts.png,banner_pacman.png,ghosts,pacman
Pong Platform,Pong,1972,Neutral,Other,None / Undefined,None / Undefined,Gray,Light Gray,"The Pong Platform is an element of the Pong video game. Pong is a table tennis–themed twitch arcade sports video game, featuring simple two-dimensional graphics, manufactured by Atari and originally released in 1972. It was one of the earliest arcade video games; it was created by Allan Alcorn as a training exercise assigned to him by Atari co-founder Nolan Bushnell, but Bushnell and Atari co-founder Ted Dabney were surprised by the quality of Alcorn's work and decided to manufacture the game. Bushnell based the game's concept on an electronic ping-pong game included in the Magnavox Odyssey, the first home video game console. In response, Magnavox later sued Atari for patent infringement.

Pong was the first commercially successful video game, and it helped to establish the video game industry along with the Magnavox Odyssey. Soon after its release, several companies began producing games that closely mimicked its gameplay. Eventually, Atari's competitors released new types of video games that deviated from Pong's original format to varying degrees, and this, in turn, led Atari to encourage its staff to move beyond Pong and produce more innovative games themselves.

Atari released several sequels to Pong that built upon the original's gameplay by adding new features. During the 1975 Christmas season, Atari released a home version of Pong exclusively through Sears retail stores. The home version was also a commercial success and led to numerous clones. The game was remade on numerous home and portable platforms following its release. Pong is part of the permanent collection of the Smithsonian Institution in Washington, D.C., due to its cultural impact.

",pong_pong_platform.png,banner_pong.png,pong platform,pong
Pong Ball,Pong,1972,Neutral,Other,None / Undefined,None / Undefined,Gray,Light Gray,"The Pong Ball is an element of the Pong video game. Pong is a table tennis–themed twitch arcade sports video game, featuring simple two-dimensional graphics, manufactured by Atari and originally released in 1972. It was one of the earliest arcade video games; it was created by Allan Alcorn as a training exercise assigned to him by Atari co-founder Nolan Bushnell, but Bushnell and Atari co-founder Ted Dabney were surprised by the quality of Alcorn's work and decided to manufacture the game. Bushnell based the game's concept on an electronic ping-pong game included in the Magnavox Odyssey, the first home video game console. In response, Magnavox later sued Atari for patent infringement.

Pong was the first commercially successful video game, and it helped to establish the video game industry along with the Magnavox Odyssey. Soon after its release, several companies began producing games that closely mimicked its gameplay. Eventually, Atari's competitors released new types of video games that deviated from Pong's original format to varying degrees, and this, in turn, led Atari to encourage its staff to move beyond Pong and produce more innovative games themselves.

Atari released several sequels to Pong that built upon the original's gameplay by adding new features. During the 1975 Christmas season, Atari released a home version of Pong exclusively through Sears retail stores. The home version was also a commercial success and led to numerous clones. The game was remade on numerous home and portable platforms following its release. Pong is part of the permanent collection of the Smithsonian Institution in Washington, D.C., due to its cultural impact.


",pong_pong_ball.png,banner_pong.png,pong ball,pong
Rayman,Rayman,1995,Protagonist,Male,Black,Orange,Orange,Purple,"Rayman is the main protagonist of the video game series of the same name, created by Ubisoft game designer Michel Ancel. He made his first appearance in 1995 on the Atari Jaguar, Sony PlayStation, Sega Saturn, and MS-DOS.

He was voiced by Steven Perkinson (Rayman, English with Rayman, Rayman Junior), Emmanuel Garijo (Rayman 2: The Great Escape, Rayman M, Rayman 3: Hoodlum Havoc, Rayman Raving Rabbids, Rayman Raving Rabbids 2, Rayman Raving Rabbids TV Party, Rayman Origins, Rayman Legends, Rayman Adventures, Rayman Mini) in French, Billy West (Rayman: The Animated Series), David Gasman (Rayman 2: The Great Escape, Rayman M, Rayman 3: Hoodlum Havoc, Rayman Raving Rabbids, Rayman Raving Rabbids 2, Rayman Raving Rabbids TV Party) and Douglas Rand (Rayman Origins, Rayman Legends, Rayman Adventures, Rayman Mini) in English.

",rayman_rayman.png,banner_rayman.png,rayman,rayman
Mr. Dark,Rayman,1995,Antagonist,Male,Yellow,None / Undefined,Blue,Purple,"Mr. Dark is the main antagonist of the first Rayman game and Rayman's arch-nemesis. He always wears robes and a hat and his eyes are brightly yellow. He's apparently a quite potent wizard and in the storyline he steals the great Protoon and captures the Electoons. He is the last boss of the game, although he is not battled with directly. Rayman instead fights with mixed-up versions of his minions. Rayman fights that battle in Mr. Dark's hideout, the Candy Chateau, the candy-themed world. Mr. Dark has trapped all of the Electoons in cages all around Rayman's World and Rayman has to free them all before finally reaching Mr. Dark. Eventually, Rayman catches up with the mysterious wizard, who steals his punching fist and nearly kills him with fire. However, at the crucial moment, the Electoons free Rayman and return him his fist. Mr. Dark transforms into a series of monsters whom Rayman must defeat, each one a mixture of two or three of the bosses Rayman fought previously.

Mr. Dark does not appear in Rayman Origins, but the game makes several references to him. If the player pulls the Bubble Dreamer's beard while playing as DarkRay, the Bubble Dreamer insults him, telling him to blame his ugliness on Mr. Dark; a reference to the events of the original game. At the end of the game, it is revealed that Rayman's friend, The Magician, has betrayed him in order to usurp Mr. Dark's position. Posters of Mr. Dark can be seen on the walls of The Magician's headquarters in the Moody Clouds.

",rayman_mr_dark.png,banner_rayman.png,mr dark,rayman
Globox,Rayman,2003,Secondary,Male,Black,None / Undefined,Blue,Light Gray,"Globox is a gentle, sensitive character. Globox has some magic powers, but in times, he is only a sidekick to the main hero, Rayman. He's from a species named the glutes.

He has some family: a wife named Uglette--quite similar to him, but with pink skin--and 650 children (at the last count). One can first see Uglette on the boat near the end of Rayman 2, with a lot of their children. The children also appear in some other levels of the game, like in the prison with the huge bird robot and they appear in the bonus stage unlocked after the player found all the cages in a level. Uglette is an unlockable character in the racing game, Rayman Rush; in Rayman Arena she is replaced by Dark Globox (GameCube and Xbox only); she is the only character present in Rayman Rush who did not make it into Rayman Arena.

Globox is slightly simple, and it is said in Rayman 2 that Polokus used his sense of humor for inspiration when creating him. He's also cowardly and will flee from every enemy he sees, leaving Rayman to clear the enemies.

Globox's magic power is the ability to create a small cloud, and to make it rain. He just has to perform a rain dance. The rain is used to remove fires and destroy machinery in Rayman 2, and was apparently used by Globox to cause Robo-Pirates to rust.

In Rayman 3, Globox accidentally swallows André, ruler of the Black Lums, who also loves plum juice, so in order to quell his tantrums, he must drink it, despite the fact that Globox is allergic to plum juice... Then he behaves strangely, sometimes producing purple bubbles (which Rayman can use to get to new areas), sometimes inflating himself and flying, one time getting up a waterfall (inevitably helping Rayman get to a new area) and frequently acting out of character, behaving in a childlike, or even sometimes aggressive manner. There are three possible reasons for this, firstly because of his allergy, secondly that it has fermented, and thirdly that it may well be hallucinogenic. In this game he is voiced by actor John Leguizamo.

In the Rabbids series, there is a kid version of Globox that are greener and have wider eyes.",rayman_globox.png,banner_rayman.png,globox,rayman
Barbara,Rayman,2013,Secondary,Female,Brown,Red,Green,Red,"Barbara is a spunky, red-haired princess warrior and barbarian who first appeared in Rayman Legends, becoming the first human being to be playable in the main series, simultaneously with another sister and eight other cousins who can be rescued throughout Legends. She is armed with a flail battle axe, whose head can be launched forward from the shaft to strike foes from a distance, and uses a magical winged helmet to float through the air, mimicking Rayman's helicopter hair ability. Barbara also returns in Rayman Adventures, having cut her long hair to neck level and exchanged her axe with a shovel.
",rayman_barbara.png,banner_rayman.png,barbara,rayman
Murfy,Rayman,1995,Secondary,Male,Green,None / Undefined,Green,Yellow,"Murfy (sometimes spelt Murphy, and known as JM Murphy in Rayman Arena) is Rayman's guide, sometimes referred to as his instructor or sidekick. He made his début in Rayman 2 and its remakes (excluding the PlayStation version in which his role is taken by Ly the Fairy, and other greenbottles are often found in cages, and the Game Boy Color version where neither he nor his species appear), later appears in Rayman Arena as a reporter, reprises his role as Rayman's coach for a short while in Rayman 3 (or the whole game in the case of the Game Boy Advance version), again in the Game Boy Advance version of Rayman Raving Rabbids and Rayman Origins, and debuts as a playable character in Rayman Legends. His nickname is ‘The Flying Encyclopedia’, and it is his job to provide as much information about the world to Rayman as he can, as well as teaching him how to train and perform his moves. In the PlayStation version of Rayman 2, his role is taken by Ly the Fairy, and other greenbottles are often found in cages. Murfy returns in Rayman Adventures, acting as a pointer if the player is playing with a controller or on an Apple TV.",rayman_murfy.png,banner_rayman.png,murfy,rayman
Sonic the Hedgehog,Sonic,1991,Protagonist,Male,Green,None / Undefined,Blue,Red,"Sonic the Hedgehog is the protagonist of the video game series of the same name published by Sega, as well as numerous spin-off comics, animations, and other media. Sonic is an anthropomorphic blue hedgehog who can run at supersonic speeds and curl into a ball, primarily to attack enemies. In most games, Sonic must race through levels, collecting power-up rings and avoiding obstacles and enemies.

Programmer Yuji Naka and artist Naoto Ohshima are generally credited with creating Sonic. Most of the games are developed by Sonic Team. The original Sonic the Hedgehog (1991) was released to provide Sega with a mascot to rival Nintendo's flagship character Mario. Sonic was redesigned by Yuji Uekawa for Sonic Adventure (1998), with a more mature look designed to appeal to older players.

Sonic is one of the world's best-known video game characters and a gaming icon. His series had sold more than 80 million copies by 2011. In 2005, Sonic was one of the first game character inductees into the Walk of Game alongside Mario, Link, and Master Chief.

",sonic_sonic.png,banner_sonic.png,sonic,sonic
Knuckles the Echidna,Sonic,1994,Secondary,Male,Purple,None / Undefined,Red,Yellow,"Knuckles the Echidna is a red echidna and Sonic's friendly rival. First introduced in the Genesis game Sonic the Hedgehog 3, Knuckles lives on Angel Island, which hovers in the sky due to the power of the Master Emerald. As the last surviving member of the Echidna people who once inhabited the island, his duty is to guard the Master Emerald.

During conception of Sonic the Hedgehog 3, the development team wanted to create a new rival for Sonic. The final design of Knuckles was the result of dozens of possible designs inspired by numerous different animals. A character with many different abilities and skills, he is physically one of the strongest characters of the Sonic series. His strength and mastery of martial arts, specialising in punches, enables him to perform feats such as shattering boulders with his fists, while he can trap air underneath his dreadlocks in order to glide for short distances.

Fang the Sniper
Fang the Sniper, initially known as Nack the Weasel in English localizations, is a purple jerboa/wolf hybrid that first appeared in the Game Gear video game Sonic the Hedgehog: Triple Trouble in 1994. His character is a treasure hunter in search of the Chaos Emeralds; however he does not know of their true power and merely wants to sell them for his own profit. He is a slick, sneaky, and mischievous character who will steal the Emeralds for an easier job. Fang tries hard to outwit others, but is held back by his clumsiness and often fails.

Outside of Triple Trouble, Fang has had playable roles in Sonic Drift 2 and Sonic the Fighters in 1995 and 1996, and had been planned to be in the cancelled Sonic Xtreme. He has not had any significant roles since however, though he did make a cameo appearance on an in-game poster in 2011's Sonic Generations, and as an illusion during the boss fight with Heavy Magician in Sonic Mania in 2017.

",sonic_knuckles.png,banner_sonic.png,knuckles,sonic
Tails Prower,Sonic,1992,Secondary,Male,Blue,None / Undefined,Yellow,Light Gray,"Miles Prower better known by his nickname Tails, is a fictional character of Sega's Sonic the Hedgehog series. Tails also appears in his own spin-off series, comic books, cartoons, and films. He is the second character to consistently appear by Sonic's side in the series. The name ""Miles Prower"" is a pun on ""miles per hour"", a reference to the famed speed of Sonic the Hedgehog. He is a two-tailed fox, hence the nickname.

A mechanical genius and skilled pilot, he can fly by spinning his tails like a helicopter rotor and can be seen flying in multiple games and TV shows created by Sega. He debuted in November 1992 with the release of Sonic the Hedgehog 2. In the mid-1990s, He was featured as the main character in a number of spinoff games: Tails and the Music Maker for the Sega Pico, and Tails Adventure and Tails' Skypatrol for the Game Gear. Tails was rated the third-most-popular character in the franchise, behind Sonic and Shadow, in an official poll from Sega in 2009.

",sonic_tails.png,banner_sonic.png,tails,sonic
Amy Rose,Sonic,1993,Secondary,Female,Green,None / Undefined,Pink,Red,"Amy Rose is a pink hedgehog and Sonic's self-proclaimed girlfriend, who is an energetic tomboy. Amy was created by Kazuyuki Hoshino for Sonic the Hedgehog CD (1993), although she appeared Kenji Terada's Sonic the Hedgehog manga a year before. Hoshino created her in-game graphics, with many staff members contributing ideas to her design. Her headband and trainer shoes reflected Sonic CD director Naoto Ohshima's tastes, and her mannerisms reflected the traits Hoshino looked for in women at the time. Her fur color was red at first, and her skirt orange. The character had two other names in game previews: Rosy the Rascal and Princess Sally (a character in the Sonic the Hedgehog TV series and comics). Amy received her present design, with a red dress and boots, in Sonic Adventure (1998), courtesy of designer Yuji Uekawa.

In the games, Amy is depicted as driven and competitive. She spends much of her time following Sonic to get his attention or make sure he is safe while demonstrating her affection. Series co-creator Yuji Naka said that Amy was designed ""to always chase Sonic"", and has made it her life goal to one day marry him. Not possessing the speed or strength of the other characters, Amy uses a hammer to defend herself instead. In Sonic CD, Metal Sonic kidnaps Amy and Sonic must rescue her. When he does, Amy kisses him. Amy's first appearance in a Sonic platformer as a playable character was in Sonic Adventure; she is playable in Sonic Heroes (2003) and Sonic the Hedgehog (2006), and appears as a non-player character in games such as Sonic Unleashed (2008).

While some journalists have called Amy cute and powerful, others find her annoying. Justin Towell of GamesRadar+ and writers from Mean Machines expressed general displeasure at her introduction in Sonic CD. Additionally, some have criticized developers' treatment of Amy as a female character and analyzed her implications on gender representation in video games. The Electronic Gaming Monthly staff found her pink coloring and tendency to run from danger to be stereotypical and common in Japanese-created female characters, while feminist blogger Anita Sarkeesian cites Amy as an example of the ""Ms. Male Character"" trope, in which female characters in games with male protagonists often resemble those protagonists, but with stereotypically feminine features added. Despite this, Amy is one of the series' most popular characters, coming in fifth place in a Japanese popularity poll in 2006. Her likeness has been used in Sonic merchandise, and she appears in the television adaptations Sonic X (2003–2006) and Sonic Boom (2014–2017).

",sonic_amy.png,banner_sonic.png,amy,sonic
